0,adin_predicted,blue_lakes_predicted,cedar_pass_predicted,css_lab_predicted,dismal_swamp_predicted,ebbetts_pass_predicted,echo_peak_predicted,fallen_leaf_predicted,hagans_meadow_predicted,heavenly_valley_predicted,independence_camp_predicted,independence_creek_predicted,independence_lake_predicted,leavitt_lake_predicted,leavitt_meadows_predicted,lobdell_lake_predicted,monitor_pass_predicted,poison_flat_predicted,rubicon_2_predicted,sonora_pass_predicted,spratt_creek_predicted,palisades_tahoe_predicted,tahoe_city_cross_predicted,truckee_2_predicted,virginia_lakes_ridge_predicted,ward_creek_3_predicted
2023-06-01,309.15997,,482.59756,994.6169,868.17804,,,141.19234,332.6758,889.2778,428.38467,375.96436,1617.1332,1374.5234,239.15414,605.62823,327.93787,274.6766,449.70758,427.39816,,970.5084,388.81567,289.32007,599.47217,434.60062
2023-07-01,319.6481,,492.84665,956.78534,928.64594,,,142.74963,348.30804,880.0989,429.23706,372.86945,1695.1664,1328.4523,241.18942,689.3783,315.14307,269.81372,483.81366,428.56284,,899.3302,390.6264,300.1865,566.63684,463.33545
2023-08-01,295.26736,,444.0616,842.0851,913.18677,,,129.10309,332.81332,737.35077,377.538,311.58563,1426.8025,1133.7247,228.54922,718.99744,261.19,225.20856,427.82065,367.1818,,738.7976,360.8372,290.3202,435.9757,440.28442
2023-09-01,0.0,,78.09866,375.15088,0.0,,,0.0,0.0,139.56848,0.0,53.333954,0.0,616.3922,86.48482,0.0,129.79222,78.97844,79.63675,151.33546,,424.35742,0.0,130.64099,94.33496,200.3633
2023-10-01,15.586094,,33.91456,149.0448,134.34271,,,0.0,0.0,0.0,139.09169,0.0,0.0,204.78642,0.0,30.755882,62.588566,0.0,0.0,0.0,,205.85881,0.0,0.0,0.0,14.576905
2023-11-01,71.34124,,112.15508,273.77234,198.07704,,,24.182749,60.12785,45.18444,248.67892,68.512726,345.4047,430.539,29.56817,76.50623,74.992035,0.0,47.317226,56.33962,,240.73238,68.14507,29.389431,27.582031,144.89355
2023-12-01,115.91659,,179.79037,398.02344,252.5424,,,37.987198,132.97102,137.70242,304.3617,113.46513,467.65976,762.9564,62.59542,110.898796,156.07185,30.189734,174.91188,117.533066,,379.64136,110.21686,93.50794,78.77342,222.93459
2024-01-01,157.27802,,229.40723,493.1902,285.98532,,,54.0423,157.81107,173.71428,322.3234,139.53712,539.86487,980.03766,81.41894,143.2139,264.6791,59.05213,294.446,156.10242,,559.46893,131.23228,127.04811,108.40501,271.51993
2024-02-01,217.47025,,295.20227,612.62195,393.51346,,,72.90462,243.10928,241.01323,341.17117,189.74901,630.62646,1331.8632,111.47457,200.63019,433.29608,118.4202,451.5671,214.40425,,775.2149,163.8757,168.65562,174.20569,358.32397
2024-03-01,269.06467,,327.9887,677.2376,459.37906,,,87.85851,272.6266,291.84464,357.1725,224.73546,682.5763,1452.5123,136.66583,252.02962,548.56177,160.93602,545.485,244.70058,,936.53467,195.16724,191.37347,202.50516,400.55405
2024-04-01,307.9877,,359.4456,686.4124,513.1157,,,96.08789,261.18716,329.8969,357.4459,234.31924,709.2696,1513.4746,145.7488,306.75775,623.0712,185.75197,572.4911,255.00792,,1013.40186,209.65965,198.62387,199.21992,412.46796
2024-05-01,356.3531,,414.71066,742.21106,599.5828,,,104.8145,330.9371,424.80032,369.9192,269.7785,839.221,1616.1924,169.40962,349.56873,656.6626,229.19104,650.14655,316.9694,,1161.1893,240.62663,233.45605,244.82741,480.9881
2024-06-01,409.8965,,473.86545,765.4459,722.87555,,,113.348,360.72577,545.26715,379.99942,301.11462,934.8886,1697.9396,193.5798,416.83517,652.8677,285.6758,693.03143,371.3014,,1236.3901,259.3288,255.5357,288.3927,544.9599
2024-07-01,393.4389,,451.47452,760.5532,734.58545,,,118.831635,354.12427,565.14545,384.48154,310.29767,938.73944,1642.7932,206.92584,451.15955,593.18964,287.73077,669.90753,387.6953,,1217.9341,271.56952,258.27612,292.26926,574.45667
2024-08-01,328.5146,,321.67212,702.18536,668.50366,,,114.65966,331.36707,484.95917,380.5275,286.08392,787.3764,1333.5132,200.77423,449.69977,460.44113,235.67247,580.5871,346.30353,,1090.4066,268.00543,230.42334,246.06912,529.8968
2024-09-01,12.8190155,,63.678333,367.87527,63.46024,,,16.390884,85.34095,140.96988,91.465225,87.27336,136.44936,718.4289,75.97263,60.10416,231.48999,67.46862,246.18738,181.41109,,680.2855,9.732402,101.37603,108.26132,220.21558
